,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents By Single Year Of Age And Sex, At End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 19/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  50 Year,59488,57874,57863,60076,60219,63657,63010,65309,64122,63029,63392,63241,62639,61232,60666,58245,56157,54801,50710,49556,46693,47090,45413,43101,42995,29119,22886,28002,24197,24865,28713,28746,27484,22634,19747,21091,23045,20625,20369,19393,19368,19935
  51 Year,55994,57508,59799,59890,63296,62675,64879,63745,62637,63020,62976,62271,61200,60432,58168,56055,54595,50691,48097,46552,46919,45306,43007,42890,29059,22853,27948,24164,24842,28646,28695,27549,22517,19521,20812,23023,20638,20291,19321,19247,19792,19336
  52 Year,55655,59381,59594,63018,62380,64597,63350,62247,62603,62595,62010,60582,60283,57911,55869,54435,50524,48076,45205,46767,45024,42836,42772,28985,22802,27863,24138,24771,28590,28593,27476,22554,19278,20510,22980,20665,20210,19275,19129,19671,19234,18413
  53 Year,57517,59138,62673,62091,64205,63039,61899,62305,62277,61742,60319,59684,57804,55611,54243,50454,47932,45129,45481,44855,42809,42631,28890,22732,27764,24051,24705,28490,28480,27395,22487,19179,20234,22943,20680,20098,19216,19000,19515,19107,18357,16942
  54 Year,57308,62167,61753,63890,62714,61630,61953,61897,61349,59990,59433,57266,55457,54003,50274,47805,44960,45413,43687,42637,42397,28794,22656,27632,23957,24611,28390,28383,27291,22402,19119,20064,22897,20673,19978,19149,18838,19328,18963,18260,16908,15548
  55 Year,60146,61316,63544,62386,61276,61714,61523,61067,59712,59203,56983,54824,53876,50109,47668,44908,45272,43599,41528,42170,28614,22540,27501,23849,24463,28280,28232,27175,22325,19030,19955,22953,20636,19837,19063,18674,19147,18831,18142,16850,15460,14807
  56 Year,59354,62966,61963,60982,61336,61151,60709,59397,58824,56643,54552,53280,49957,47386,44713,45115,43399,41410,41081,28448,22329,27344,23726,24321,28146,28061,27000,22229,18943,19883,22817,20695,19700,18951,18506,18963,18656,18034,16796,15357,14690,14321
  57 Year,60883,61377,60573,61000,60745,60295,59023,58443,56314,54217,53032,49672,47252,44450,44917,43165,41215,40940,27508,22196,27281,23597,24165,28003,27895,26864,22112,18841,19741,22620,20540,19645,18823,18354,18761,18447,17878,16745,15248,14584,14192,14135
  58 Year,59501,60069,60659,60376,59988,58680,58126,56007,53863,52675,49402,46930,44325,44711,42970,40962,40684,27435,21492,27072,23433,23986,27807,27672,26685,21967,18737,19607,22457,20385,19468,18771,18177,18536,18265,17733,16624,15123,14460,14024,13999,13116
  59 Year,58342,60102,60020,59646,58333,57751,55682,53478,52356,49079,46709,43990,44537,42700,40715,40451,27233,21404,26285,23289,23792,27594,27432,26490,21814,18580,19450,22276,20213,19309,18618,18038,18309,18058,17584,16529,14960,14275,13829,13851,13026,13068
  60 Year,58272,59469,59265,57982,57339,55254,53107,52011,48778,46381,43735,44195,42554,40496,40247,27076,21215,26184,22522,23588,27304,27150,26270,21625,18448,19270,22078,20039,19135,18458,17843,18138,17815,17393,16400,14828,14073,13636,13670,12906,12866,13089
  61 Year,57701,58696,57566,56925,54871,52720,51637,48388,46040,43389,43904,42197,40263,39935,26883,21112,26014,22408,22820,27015,26959,26002,21420,18252,19074,21840,19837,18942,18230,17603,17899,17617,17188,16308,14691,13881,13452,13516,12807,12679,12879,12066
  62 Year,57013,57023,56532,54506,52319,51278,48063,45622,43055,43497,41940,39968,39680,26685,20964,25825,22236,22643,26112,26684,25717,21205,18046,18826,21609,19634,18724,18016,17387,17694,17374,17024,16174,14512,13680,13245,13315,12695,12450,12633,11841,11820
  63 Year,55327,55948,54033,51866,50862,47695,45291,42734,43126,41541,39604,39349,26544,20744,25588,22020,22438,25958,25744,25462,20962,17847,18586,21322,19384,18516,17789,17138,17422,17153,16781,16074,14320,13462,13040,13127,12533,12177,12370,11608,11575,11153
  64 Year,54299,53490,51432,50409,47260,44906,42395,42747,41155,39188,38977,26286,20655,25301,21819,22209,25672,25543,24526,20689,17564,18299,21048,19154,18252,17529,16900,17173,16889,16485,15831,14168,13234,12813,12929,12376,11929,12094,11364,11349,10930,10321
  65 Year,51876,50893,49966,46868,44489,42023,42339,40723,38787,38555,26049,20377,25141,21577,21950,25417,25228,24239,19931,17317,18074,20723,18881,17990,17285,16616,16901,16596,16190,15550,13925,13045,12553,12736,12235,11648,11816,11096,11103,10705,10106,10401
  66 Year,49377,49409,46445,44043,41568,41908,40266,38370,38130,25702,20180,24834,21350,21689,25137,24880,23967,19682,16595,17802,20401,18597,17713,16993,16303,16600,16323,15862,15225,13665,12777,12343,12492,12085,11372,11546,10815,10832,10494,9843,10110,9696
  67 Year,47946,45852,43621,41162,41445,39897,37914,37661,25412,19924,24530,21110,21429,24789,24561,23675,19381,16369,17032,20058,18218,17394,16669,15973,16260,16008,15490,14900,13387,12536,12057,12281,11872,11062,11269,10554,10575,10282,9584,9810,9423,9974
  68 Year,44429,43078,40724,41040,39440,37493,37179,25067,19630,24208,20823,21131,24485,24204,23308,19095,16060,16784,19270,17856,16991,16343,15620,15899,15671,15165,14556,13121,12268,11761,11905,11747,10756,10949,10267,10292,10037,9325,9524,9162,9655,9437
  69 Year,41763,40164,40540,38988,37027,36699,24727,19377,23858,20490,20814,24059,23853,22926,18801,15770,16452,18933,17055,16554,15992,15248,15507,15263,14805,14200,12822,11960,11451,11494,11323,10480,10626,9970,10035,9797,9056,9196,8899,9336,9147,8914
  70 Year,38931,39934,38506,36520,36127,24362,19074,23491,20129,20417,23664,23478,22567,18460,15511,16140,18511,16705,15714,15604,14868,15088,14875,14422,13843,12515,11617,11121,11096,10920,10072,10300,9589,9738,9557,8800,8898,8613,9015,8833,8568,8149
  71 Year,38621,37916,35932,35584,23995,18785,23113,19787,20068,23246,23076,22146,18148,15197,15791,18137,16340,15337,14741,14464,14648,14552,14027,13470,12179,11255,10777,10645,10488,9683,9899,9283,9408,9288,8526,8549,8313,8729,8514,8230,7832,7108
  72 Year,36635,35297,34933,23585,18428,22706,19408,19663,22763,22584,21684,17798,14910,15395,17700,15963,14930,14421,13569,14228,14119,13611,13083,11786,10915,10360,10217,10051,9276,9497,8905,9103,8997,8234,8229,8004,8385,8202,7871,7460,6797,6770
  73 Year,34026,34247,23130,18057,22279,19089,19277,22290,22093,21200,17393,14556,15029,17194,15517,14515,13979,13208,13268,13635,13178,12696,11401,10568,9993,9723,9595,8850,9069,8480,8667,8742,7936,7910,7714,8063,7890,7528,7098,6490,6443,5685
  74 Year,33113,22614,17626,21800,18665,18854,21759,21584,20693,16967,14256,14640,16774,15061,14112,13562,12785,12814,12710,12711,12235,11001,10208,9609,9246,9105,8392,8616,8059,8207,8326,7619,7569,7396,7702,7542,7186,6748,6167,6084,5424,5041
  75 Year,21754,17196,21317,18248,18403,21238,21031,20177,16545,13855,14256,16263,14608,13673,13141,12375,12377,12239,10866,11724,10565,9833,9226,8749,8582,7947,8133,7615,7765,7878,7248,7201,na,na,na,na,na,na,na,na,na,4539
  76 Year,16549,20753,17819,17911,20707,20456,19593,16085,13452,13848,15715,14077,13207,12637,11921,11930,11775,10693,9858,10121,9376,8789,8284,8091,7534,7635,7168,7335,7389,6849,6789,6776,na,na,na,na,na,na,na,na,na,4040
  77 Year,19950,17302,17443,20150,19863,19056,15605,13037,13379,15218,13580,12700,12172,11452,11429,11309,10322,9685,8345,8948,8384,7780,7581,7107,7152,6703,6871,6944,6387,6375,6373,6668,na,na,na,na,na,na,na,na,na,3709
  78 Year,16576,16902,19504,19219,18442,15079,12601,12927,14676,13081,12206,11682,11018,10951,10809,9915,9296,8164,7241,7947,7431,7079,6643,6679,6233,6412,6432,5980,5954,5932,6229,6263,na,na,na,na,na,na,na,na,na,3229
  79 Year,16149,18837,18517,17799,14538,12126,12381,14068,12567,11673,11152,10456,10485,10288,9432,8884,7831,7094,6553,7090,6745,6163,6218,5797,5941,5961,5576,5532,5474,5767,5837,5428,na,na,na,na,na,na,na,na,na,2803
