Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
  Landed Properties,"16,143","17,045","17,615","18,339","18,851","19,369","20,045","20,198","20,678","20,745","19,909","19,059","18,584","16,908","16,190","16,180","16,025","15,677","15,820","15,952","16,431","16,306"
  Other Types Of Dwelling,"1,215","1,252","1,298","1,173","1,136","1,419","1,644","1,944","2,252","2,131","1,819","2,070","1,989","1,611","1,322","1,306","1,318","1,326","1,524","1,827","1,938","2,015"
25-29 Years,"278,037","286,997","288,194","291,631","290,198","279,988","271,030","265,659","255,615","254,582","262,606","272,639","274,308","263,114","254,523","251,659","247,799","246,713","250,878","262,720","262,754","267,161"
  Total HDB Dwellings,"225,547","232,921","234,747","238,548","238,980","232,715","227,079","223,675","217,281","217,667","225,138","233,875","236,524","226,896","217,963","214,873","212,425","212,640","217,438","227,740","229,210","234,929"
    HDB 1- And 2-Room Flats,"10,049","9,918","9,824","9,746","9,795","9,361","9,007","8,676","8,112","7,381","6,851","6,155","5,707","5,333","4,990","4,541","4,466","4,377","4,429","4,981","5,713","7,009"
    HDB 3-Room Flats,"33,545","35,219","36,181","37,536","38,372","38,610","38,757","39,346","38,954","40,963","44,114","47,719","50,139","48,506","47,320","47,401","48,306","49,982","53,493","58,114","61,375","65,724"
    HDB 4-Room Flats,"99,886","103,465","105,008","107,056","107,387","104,673","103,016","101,071","98,684","98,878","101,614","104,784","105,237","100,106","95,678","94,012","92,390","92,453","94,517","98,617","96,891","97,638"
    HDB 5-Room And Executive Flats,"82,067","84,319","83,734","84,210","83,426","79,844","76,090","74,304","70,994","69,832","71,925","74,469","74,659","72,214","69,147","68,103","66,451","65,042","64,168","64,953","63,954","63,225"
  Condominiums & Other Apartments,"34,068","33,961","33,127","32,353","30,134","26,765","24,241","22,606","20,438","19,695","20,179","20,898","20,111","19,107","20,022","20,115","18,875","17,579","16,698","16,654","14,971","12,701"
  Landed Properties,"17,232","18,896","19,092","19,460","19,711","19,014","18,033","17,644","16,145","15,313","15,273","15,481","15,044","14,810","14,508","14,727","14,577","14,491","14,620","15,954","16,089","16,814"
  Other Types Of Dwelling,"1,190","1,219","1,228","1,270","1,373","1,494","1,677","1,734","1,751","1,907","2,016","2,385","2,629","2,301","2,030","1,944","1,922","2,003","2,122","2,372","2,484","2,717"
30-34 Years,"301,060","297,798","293,446","281,397","279,340","285,544","290,619","292,287","296,870","295,396","297,555","298,687","297,240","289,817","294,453","293,251","293,414","290,489","287,304","289,184","286,690","290,290"
  Total HDB Dwellings,"243,970","242,736","239,934","231,391","231,766","239,090","245,125","248,551","253,094","252,074","253,474","253,751","253,442","247,159","249,368","248,802","250,802","250,079","248,949","250,498","249,771","255,755"
